ID,Title,Price,Image URL,URL
0,Tarot Lenormand | იტალიური. პრემიუმ ხარისხი,₾99.00,https://onlinetarot.ge/wp-content/uploads/2022/06/images-e1656077258583.png,https://onlinetarot.ge/product/dark-grimoire-tarot-%e1%83%98%e1%83%a2%e1%83%90%e1%83%9a%e1%83%98%e1%83%a3%e1%83%a0%e1%83%98-%e1%83%9e%e1%83%a0%e1%83%94%e1%83%9b%e1%83%98%e1%83%a3%e1%83%9b-%e1%83%ae%e1%83%90%e1%83%a0%e1%83%98-2/
1,Tarot de la Nuit | პრემიუმ ხარისხი,₾139.00,https://onlinetarot.ge/wp-content/uploads/2022/06/images-e1656077258583.png,https://onlinetarot.ge/product/tarot-de-la-nuit-%e1%83%9e%e1%83%a0%e1%83%94%e1%83%9b%e1%83%98%e1%83%a3%e1%83%9b-%e1%83%ae%e1%83%90%e1%83%a0%e1%83%98%e1%83%a1%e1%83%ae%e1%83%98/
2,Tarot of Oppositions | პრემიუმ ხარისხი,₾139.00,https://onlinetarot.ge/wp-content/uploads/2022/06/images-e1656077258583.png,https://onlinetarot.ge/product/tarot-of-oppositions-%e1%83%9e%e1%83%a0%e1%83%94%e1%83%9b%e1%83%98%e1%83%a3%e1%83%9b-%e1%83%ae%e1%83%90%e1%83%a0%e1%83%98%e1%83%a1%e1%83%ae%e1%83%98/
3,Arcanum Tarot – ტარო – არკანუმი| პრემიუმ ხარისხი,₾139.00,https://onlinetarot.ge/wp-content/uploads/2022/06/images-e1656077258583.png,https://onlinetarot.ge/product/arcanum-tarot-%e1%83%a2%e1%83%90%e1%83%a0%e1%83%9d-%e1%83%90%e1%83%a0%e1%83%99%e1%83%90%e1%83%9c%e1%83%a3%e1%83%9b%e1%83%98-%e1%83%9e%e1%83%a0%e1%83%94%e1%83%9b%e1%83%98%e1%83%a3%e1%83%9b/
4,Dark Grimoire Tarot | იტალიური. პრემიუმ ხარისხი,₾99.00,https://onlinetarot.ge/wp-content/uploads/2022/06/images-e1656077258583.png,https://onlinetarot.ge/product/dark-grimoire-tarot-%e1%83%98%e1%83%a2%e1%83%90%e1%83%9a%e1%83%98%e1%83%a3%e1%83%a0%e1%83%98-%e1%83%9e%e1%83%a0%e1%83%94%e1%83%9b%e1%83%98%e1%83%a3%e1%83%9b-%e1%83%ae%e1%83%90%e1%83%a0%e1%83%98/
5,The Book of Shadows Tarot – Complete Edition Kit | პრემიუმ ხარისხი,₾149.00,https://onlinetarot.ge/wp-content/uploads/2022/06/images-e1656077258583.png,https://onlinetarot.ge/product/the-book-of-shadows-tarot-complete-edition-kit-%e1%83%9e%e1%83%a0%e1%83%94%e1%83%9b%e1%83%98%e1%83%a3%e1%83%9b-%e1%83%ae%e1%83%90%e1%83%a0%e1%83%98%e1%83%a1%e1%83%ae%e1%83%98/
6,Runic Tarot Kit | პრემიუმ ხარისხი,₾149.00,https://onlinetarot.ge/wp-content/uploads/2022/06/images-e1656077258583.png,https://onlinetarot.ge/product/runic-tarot-kit-%e1%83%9e%e1%83%a0%e1%83%94%e1%83%9b%e1%83%98%e1%83%a3%e1%83%9b-%e1%83%ae%e1%83%90%e1%83%a0%e1%83%98%e1%83%a1%e1%83%ae%e1%83%98/
7,ViceVersa Tarot Kit | პრემიუმ ხარისხი,₾149.00,https://onlinetarot.ge/wp-content/uploads/2022/06/images-e1656077258583.png,https://onlinetarot.ge/product/viceversa-tarot-kit-%e1%83%9e%e1%83%a0%e1%83%94%e1%83%9b%e1%83%98%e1%83%a3%e1%83%9b-%e1%83%ae%e1%83%90%e1%83%a0%e1%83%98%e1%83%a1%e1%83%ae%e1%83%98/
8,New Vision Tarot Kit | პრემიუმ ხარისხი,₾149.00,https://onlinetarot.ge/wp-content/uploads/2022/06/images-e1656077258583.png,https://onlinetarot.ge/product/new-vision-tarot-kit-%e1%83%9e%e1%83%a0%e1%83%94%e1%83%9b%e1%83%98%e1%83%a3%e1%83%9b-%e1%83%ae%e1%83%90%e1%83%a0%e1%83%98%e1%83%a1%e1%83%ae%e1%83%98/
9,Before Tarot Kit | პრემიუმ ხარისხი,₾149.00,https://onlinetarot.ge/wp-content/uploads/2023/04/Untitled-design-1-430x430.png,https://onlinetarot.ge/product/before-tarot-kit-%e1%83%9e%e1%83%a0%e1%83%94%e1%83%9b%e1%83%98%e1%83%a3%e1%83%9b-%e1%83%ae%e1%83%90%e1%83%a0%e1%83%98%e1%83%a1%e1%83%ae%e1%83%98/
